GID,NAME,LANGUAGE
AA,Sedan (AA),sv
AA,Saloon (AA),en
AA,Sedan (AA),fi
AB,Kombisedan (AB),sv
AB,Hatchback (AB),en
AB,Viistoperä (AB),fi
AC,Stationsvagn (AC),sv
AC,Station wagon (AC),en
AC,Farmari (AC),fi
AD,Kupé (AD),sv
AD,Coupé (AD),en
AD,Coupé (AD),fi
AE,Cabriolet (AE),sv
AE,Convertible (AE),en
AE,Avoauto (AE),fi
AF,Fordon avsett för flera ändamål (AF),sv
AF,Multi-purpose vehicle (AF),en
AF,Monikäyttöajoneuvo (AF),fi
BA,Lastbil (BA),sv
BA,Lorry (BA),en
BA,Avolavakuorma-auto (BA),fi
BB,Skåpbil (BB),sv
BB,Van (BB),en
BB,Umpikorinen (BB),fi
BC,Dragfordon för påhängsvagn (BC),sv
BC,Semi-trailer tractor (BC),en
BC,Puoliperävaunun vetoauto (BC),fi
BD,Dragfordon för släpvagn (BD),sv
BD,Towing vehicle for a trailer (BD),en
BD,Perävaunun vetoajoneuvo (BD),fi
CA,Envåningsbuss (CA),sv
CA,Single-deck (CA),en
CA,Yksikerroksinen (CA),fi
CB,Tvåvåningsbuss (CB),sv
CB,Double-deck (CB),en
CB,Kaksikerroksinen (CB),fi
CC,Ledad envåningsbuss (CC),sv
CC,Articulated single-deck (CC),en
CC,Nivelöity yksikerroksinen (CC),fi
CD,Ledad tvåvåningsbuss (CD),sv
CD,Articulated double-deck (CD),en
CD,Nivelöity kaksikerroksinen (CD),fi
CE,Envånings låggolvsbuss (CE),sv
CE,Low-floor single-deck (CE),en
CE,Matalalattiainen yksikerroksinen (CE),fi
CF,Tvåvånings låggolvsbuss (CF),sv
CF,Low-floor double-deck (CF),en
CF,Matalalattiainen kaksikerroksinen (CF),fi
CG,Ledad envånings låggolvsbuss (CG),sv
CG,Articulated low-floor single-deck (CG),en
CG,Nivelöity matalalattiainen yksikerroksinen (CG),fi
CH,Ledad envånings låggolvsbuss (CG),sv
