GID,NAME,DESCRIPTION,LANGUAGE
C1,Tractor,Tractor,en
C1,Traktor,"Bandtraktor, v <= 40 km/h, m > 600 kg, markfria gång <= 1000 mm",sv
C1,Traktori,"Telaketjutraktori, v <= 40 km/h, m > 600 kg, maavara <= 1000 mm",fi
C2,Tractor,Tractor,en
C2,Traktori,"Telaketjutraktori, v <= 40 km/h, m > 600 kg, maavara <= 600 mm",fi
C2,Traktor,"Bandtraktor, v <= 40 km/h, m > 600 kg, markfria gång <= 600 mm",sv
C3,Tractor,Tractor,en
C3,Traktori,"Telaketjutraktori, v <= 40 km/h, m <= 600 kg",fi
C3,Traktor,"Bandtraktor, v <= 40 km/h, m <= 600 kg",sv
C4,Tractor,Tractor,en
C4,Traktori,"Erityiskäyttöön tarkoitettu telaketjutraktori, v <= 40 km/h",fi
C4,Traktor,"Bandtraktor konstruerad för ett särskilt ändamål, v <= 40 km/h",sv
C5,Tractor,Tractor,en
C5,Traktori,"Telaketjutraktori, v > 40 km/h",fi
C5,Traktor,"Bandtraktor, v > 40 km/h",sv
KNP,Light quadricycle,Light quadricycle,en
KNP,Kevyt nelipyörä,"Nelipyöräinen ajoneuvo, m (kuormittamaton) <= 350 kg, v <= 45 km/h, Vi <= 50 cm3",fi
KNP,Lätt fyrhjuling,"Fyrhjuligt fordon, m (olastad) <= 350 kg, v <= 45 km/h, Vi <= 50 cm3",sv
L1,Moped,Moped,en
L1,Mopo,"Kaksipyöräinen ajoneuvo, Vi <= 50 cm3, v <= 45 km/h",fi
L1,Moped,"Tvåhjuligt fordon, Vi <= 50 cm3, v <= 45 km/h",sv
L1e,Moped,Moped,en
L1e,Mopo,"Kaksipyöräinen ajoneuvo, v <= 45 km/h, Vi <= 50 cm3",fi
L1e,Moped,"Tvåhjuligt fordon, v <= 45 km/h, Vi <= 50 cm3",sv
L2,Moped,Moped,en
L2,Mopo,"Kolmipyöräinen ajoneuvo, Vi <= 50 cm3, v <= 45 km/h",fi
L2,Moped,"Trehjuligt fordon, Vi <= 50 cm3, v <= 45 km/h",sv
L2e,Moped,Moped,en
L2e,Mopo,"Kolmipyöräinen ajoneuvo, v <= 45 km/h, Vi <= 50 cm3",fi
L2e,Moped,"Trehjuligt fordon, v <= 45 km/h, Vi <= 50 cm3",sv
L3,Motorcycle,Motorcycle,en
L3,Moottoripyörä,"Kaksipyöräinen moottoripyörä, Vi > 50 cm3 ja/tai v > 45 km/h,",fi
L3,Motorcykel,"Tvåhjuligt fordon, Vi > 50 cm3 och/eller v > 45 km/h,",sv
L3e,Motorcycle,Motorcycle,en
L3e,Moottoripyörä,"Kaksipyöräinen ajoneuvo, Vi > 50 cm3 ja/tai v > 45 km/h,",fi
L3e,Motorcykel,"Tvåhjuligt fordon, Vi > 50 cm3 och/eller v > 45 km/h",sv
L4,Motorcycle,Motorcycle,en
L4,Moottoripyörä,"Kaksipyöräinen, sivuvaunullinen moottoripyörä, Vi > 50 cm3 ja/tai v > 45 km/h",fi
L4,Motorcykel,"Tvåhjuligt fordon med sidvagn, Vi > 50 cm3 ja/tai v > 45 km/h",sv
L4e,Motorcycle,Motorcycle,en
L4e,Moottoripyörä,"Kaksipyöräinen, sivuvaunullinen moottoripyörä, Vi > 50 cm3 ja/tai v > 45 km/h",fi
L4e,Motorcykel,"Tvåhjuligt fordon med sidvagn, Vi > 50 cm3 och/eller v > 45 km/h",sv
L5,Motor tricycle or quadricycle,Motor tricycle or quadricycle,en
L5,Kolmi- tai nelipyörä,"Kolmipyöräinen ajoneuvo, Vi > 50 cm3, v > 45 km/h, pyörät symmetrisesti keskiakselin suhteen, m <= 1000 kg TAI nelipyöräinen ajoneuvo, Vi > 50 cm3, v > 45 km/h, m (kuormittamaton) < 400 kg tai m (kuormittamaton) < 550 kg tavarankuljetuskäytössä, P <= 15 kW",fi
