GID,NAME,LANGUAGE
710,Raasepori,fi
710,Raseborg,sv
322,Kemiönsaari,fi
322,Kimitoö,sv
790,Sastamala,fi
790,Sastamala,sv
508,Mänttä-Vilppula,fi
508,Mänttä-Vilppula,sv
791,Siikalatva,fi
791,Siikalatva,sv
445,Parainen,fi
445,Pargas,sv
201,Pohjoismaat,fi
201,Norden,sv
005,Alajärvi,fi
005,Alajärvi,sv
009,Alavieska,fi
009,Alavieska,sv
010,Alavus,fi
010,Alavo,sv
016,Asikkala,fi
016,Asikkala,sv
018,Askola,fi
018,Askola,sv
019,Aura,fi
019,Aura,sv
020,Akaa,fi
020,Ackas,sv
035,Brändö,fi
035,Brändö,sv
043,Eckerö,fi
043,Eckerö,sv
046,Enonkoski,fi
046,Enonkoski,sv
047,Enontekiö,fi
047,Enontekiö,sv
049,Espoo,fi
049,Esbo,sv
050,Eura,fi
050,Eura,sv
051,Eurajoki,fi
051,Eurajoki,sv
052,Evijärvi,fi
052,Evijärvi,sv
060,Finström,fi
060,Finström,sv
061,Forssa,fi
061,Forssa,sv
062,Föglö,fi
062,Föglö,sv
065,Geta,fi
065,Geta,sv
069,Haapajärvi,fi
069,Haapajärvi,sv
071,Haapavesi,fi
071,Haapavesi,sv
072,Hailuoto,fi
072,Karlö,sv
074,Halsua,fi
074,Halsua,sv
075,Hamina,fi
075,Fredrikshamn,sv
076,Hammarland,fi
076,Hammarland,sv
077,Hankasalmi,fi
077,Hankasalmi,sv
078,Hanko,fi
078,Hangö,sv
079,Harjavalta,fi
079,Harjavalta,sv
081,Hartola,fi
081,Hartola,sv
082,Hattula,fi
082,Hattula,sv
086,Hausjärvi,fi
086,Hausjärvi,sv
090,Heinävesi,fi
090,Heinävesi,sv
091,Helsinki,fi
091,Helsingfors,sv
092,Vantaa,fi
092,Vanda,sv
097,Hirvensalmi,fi
097,Hirvensalmi,sv
098,Hollola,fi
098,Hollola,sv
099,Honkajoki,fi
099,Honkajoki,sv
102,Huittinen,fi
102,Huittinen,sv
103,Humppila,fi
103,Humppila,sv
105,Hyrynsalmi,fi
105,Hyrynsalmi,sv
106,Hyvinkää,fi
106,Hyvinge,sv
108,Hämeenkyrö,fi
108,Tavastkyro,sv
109,Hämeenlinna,fi
109,Tavastehus,sv
111,Heinola,fi
111,Heinola,sv
139,Ii,fi
139,Ii,sv
140,Iisalmi,fi
140,Idensalmi,sv
142,Iitti,fi
142,Iitti,sv
143,Ikaalinen,fi
143,Ikalis,sv
145,Ilmajoki,fi
145,Ilmajoki,sv
146,Ilomantsi,fi
146,Ilomantsi,sv
148,Inari,fi
148,Enare,sv
149,Inkoo,fi
149,Ingå,sv
151,Isojoki,fi
151,Storå,sv
152,Isokyrö,fi
152,Storkyro,sv
153,Imatra,fi
153,Imatra,sv
164,Jalasjärvi,fi
164,Jalasjärvi,sv
165,Janakkala,fi
165,Janakkala,sv
167,Joensuu,fi
167,Joensuu,sv
169,Jokioinen,fi
169,Jokioinen,sv
170,Jomala,fi
170,Jomala,sv
171,Joroinen,fi
171,Joroinen,sv
172,Joutsa,fi
172,Joutsa,sv
174,Juankoski,fi
174,Juankoski,sv
176,Juuka,fi
176,Juuka,sv
177,Juupajoki,fi
177,Juupajoki,sv
178,Juva,fi
178,Jockas,sv
179,Jyväskylä,fi
179,Jyväskylä,sv
181,Jämijärvi,fi
181,Jämijärvi,sv
182,Jämsä,sv
182,Jämsä,fi
186,Järvenpää,fi
186,Järvenpää,sv
198,Ulkomaat,fi
198,Utlandet,sv
199,Tuntematon,fi
199,Tuntematon,sv
200,Ulkomaat,fi
200,Utlandet,sv
202,Kaarina,fi
202,St Karins,sv
204,Kaavi,fi
204,Kaavi,sv
205,Kajaani,fi
205,Kajana,sv
208,Kalajoki,fi
208,Kalajoki,sv
211,Kangasala,fi
211,Kangasala,sv
213,Kangasniemi,fi
213,Kangasniemi,sv
214,Kankaanpää,fi
214,Kankaanpää,sv
216,Kannonkoski,fi
216,Kannonkoski,sv
217,Kannus,fi
217,Kannus,sv
218,Karijoki,fi
218,Bötom,sv
224,Karkkila,fi
224,Högfors,sv
226,Karstula,fi
226,Karstula,sv
230,Karvia,fi
230,Karvia,sv
231,Kaskinen,fi
231,Kaskö,sv
232,Kauhajoki,fi
232,Kauhajoki,sv
233,Kauhava,fi
233,Kauhava,sv
235,Kauniainen,fi
235,Grankulla,sv
236,Kaustinen,fi
236,Kaustby,sv
239,Keitele,fi
239,Keitele,sv
240,Kemi,fi
240,Kemi,sv
241,Keminmaa,fi
241,Keminmaa,sv
244,Kempele,fi
244,Kempele,sv
245,Kervo,sv
245,Kerava,fi
249,Keuruu,fi
249,Keuruu,sv
250,Kihniö,fi
250,Kihniö,sv
256,Kinnula,fi
256,Kinnula,sv
257,Kirkkonummi,fi
257,Kyrkslätt,sv
